timestamp,isLooking,lm0_x,lm0_y,lm1_x,lm1_y,lm2_x,lm2_y,lm3_x,lm3_y,lm4_x,lm4_y,lm5_x,lm5_y,lm6_x,lm6_y,lm7_x,lm7_y,lm8_x,lm8_y,lm9_x,lm9_y,lm10_x,lm10_y,lm11_x,lm11_y,lm12_x,lm12_y,lm13_x,lm13_y,lm14_x,lm14_y,lm15_x,lm15_y,lm16_x,lm16_y,lm17_x,lm17_y,lm18_x,lm18_y,lm19_x,lm19_y,lm20_x,lm20_y,lm21_x,lm21_y,lm22_x,lm22_y,lm23_x,lm23_y,lm24_x,lm24_y,lm25_x,lm25_y,lm26_x,lm26_y,lm27_x,lm27_y,lm28_x,lm28_y,lm29_x,lm29_y,lm30_x,lm30_y,lm31_x,lm31_y,lm32_x,lm32_y,lm33_x,lm33_y,lm34_x,lm34_y,lm35_x,lm35_y,lm36_x,lm36_y,lm37_x,lm37_y,lm38_x,lm38_y,lm39_x,lm39_y,lm40_x,lm40_y,lm41_x,lm41_y,lm42_x,lm42_y,lm43_x,lm43_y,lm44_x,lm44_y,lm45_x,lm45_y,lm46_x,lm46_y,lm47_x,lm47_y,lm48_x,lm48_y,lm49_x,lm49_y,lm50_x,lm50_y,lm51_x,lm51_y,lm52_x,lm52_y,lm53_x,lm53_y,lm54_x,lm54_y,lm55_x,lm55_y,lm56_x,lm56_y,lm57_x,lm57_y,lm58_x,lm58_y,lm59_x,lm59_y,lm60_x,lm60_y,lm61_x,lm61_y,lm62_x,lm62_y,lm63_x,lm63_y,lm64_x,lm64_y,lm65_x,lm65_y,lm66_x,lm66_y,lm67_x,lm67_y,lm68_x,lm68_y,lm69_x,lm69_y,lm70_x,lm70_y,lm71_x,lm71_y,lm72_x,lm72_y,lm73_x,lm73_y,lm74_x,lm74_y,lm75_x,lm75_y,lm76_x,lm76_y,lm77_x,lm77_y,lm78_x,lm78_y,lm79_x,lm79_y,lm80_x,lm80_y,lm81_x,lm81_y,lm82_x,lm82_y,lm83_x,lm83_y,lm84_x,lm84_y,lm85_x,lm85_y,lm86_x,lm86_y,lm87_x,lm87_y,lm88_x,lm88_y,lm89_x,lm89_y,lm90_x,lm90_y,lm91_x,lm91_y,lm92_x,lm92_y,lm93_x,lm93_y,lm94_x,lm94_y,lm95_x,lm95_y,lm96_x,lm96_y,lm97_x,lm97_y,gaze_pitch,gaze_yaw,head_pitch,head_yaw,head_roll,relative_pitch,relative_yaw
1766107039865,1,214.08905,355.39606,213.55032,361.82126,213.19096,367.68158,212.94424,374.4479,212.52533,380.7411,212.37415,387.31177,212.90063,394.11627,213.65585,400.2049,214.45613,406.437,216.38017,412.3156,218.39856,418.84402,221.80612,423.7741,225.33054,428.5828,229.6311,432.68457,234.63869,436.3239,240.26599,438.5914,246.40231,439.91776,253.16428,441.02365,260.01422,440.55453,266.2389,438.80685,272.42816,436.0464,278.04938,433.4429,282.94186,429.52933,287.54147,425.2741,292.29425,420.30212,295.54614,414.8378,298.75653,408.93683,301.24487,402.98822,303.61142,397.22913,305.83533,390.53677,307.55582,384.4708,308.807,377.77393,310.12708,371.83936,228.79242,347.5734,236.52344,340.89926,242.90138,340.78256,249.93971,341.71,256.09357,343.46588,255.53421,348.6249,249.32726,347.19415,242.3751,346.51706,235.57489,346.231,271.64963,346.29575,279.21097,346.22165,286.40125,347.62408,292.97177,350.45993,298.19263,358.98923,292.4647,355.55228,285.39902,353.2036,278.44525,351.68463,270.5241,351.03976,260.61615,357.5648,258.87714,365.6284,257.02072,373.1298,255.84216,380.5721,244.28996,384.8963,249.77858,386.48013,255.33797,388.4622,261.1011,387.89484,266.7619,387.91827,233.4843,355.5232,237.29558,353.47385,241.68672,353.0502,246.37218,354.49762,249.95895,357.73422,245.71477,357.98523,240.89763,357.85208,236.83696,357.1057,272.49655,361.03455,277.23462,359.17795,282.27295,360.0068,286.17383,361.63635,289.353,364.63452,284.75638,365.4304,280.74866,364.84784,276.46478,363.39716,234.08595,402.682,241.04129,398.85757,249.40938,397.73196,253.02309,398.63538,256.70154,399.16943,264.96463,401.74173,271.03366,407.2734,264.8007,410.05673,258.0922,410.97998,251.13884,410.45905,244.68634,409.14468,238.86508,406.4649,235.93657,402.52084,243.93398,401.57617,252.67636,402.3959,261.51648,404.0567,269.55417,407.15292,261.2159,405.5103,252.03308,405.16956,243.8902,403.0815,241.42332,355.77728,281.7041,362.3681,0.1789625,0.22121009,0.17247082,0.14256087,2.8016791,0.006491676,0.07864922
1766107040455,1,216.18913,354.95444,215.48752,361.36194,214.61496,367.2023,214.078,373.9026,213.44357,380.2792,213.24255,386.82928,213.79848,393.49463,214.4478,399.61636,215.30354,405.91614,217.23718,411.712,219.41782,418.11923,222.82039,423.052,226.26225,428.04422,230.716,432.28165,235.6176,435.77765,241.17073,438.31973,247.40735,439.79556,254.08414,440.98898,260.9,440.5428,267.01953,438.95038,273.2608,436.5578,278.80728,434.15674,283.8968,430.62408,288.49106,426.58038,293.24045,421.70096,296.48734,416.41318,299.70068,410.72568,302.38297,404.90506,304.88712,399.2546,307.278,392.80414,309.02197,386.90567,310.44302,380.45612,311.78226,374.70596,230.72787,347.43692,238.92142,340.91068,245.46364,340.94336,252.76112,342.07904,258.83734,344.27966,258.13574,349.37018,251.82004,347.4795,244.76729,346.57635,237.79237,346.2075,275.5404,348.2499,282.97607,348.8636,290.3592,350.948,296.83887,354.17328,301.58084,362.85608,296.19962,358.92242,289.16406,356.16513,282.07086,354.13733,274.2461,352.94748,263.83527,358.70718,262.09213,366.6098,259.98438,373.8035,258.64142,381.0389,246.60675,384.97394,251.95921,386.71976,257.85574,388.77783,263.54437,388.46906,269.10333,388.62912,235.38872,355.5161,239.67642,353.48615,244.06004,353.17844,248.90475,354.83017,252.37154,358.15347,248.00565,358.34467,243.08452,357.94278,238.85762,357.15158,275.62875,363.04135,280.95502,361.54056,285.96344,362.8312,289.9045,364.84323,293.03107,367.89362,288.0984,368.29596,284.16956,367.41992,279.69824,365.58557,235.79243,402.3768,243.15541,398.71442,251.72879,397.71796,255.36249,398.67117,258.94464,399.3233,267.35422,402.3846,272.75616,408.32272,266.57108,410.73,259.7383,411.2384,253.02933,410.44733,246.42874,409.12946,240.61804,406.413,237.65646,402.3589,245.69693,401.53778,254.78722,402.4272,263.4119,404.4981,271.12234,408.1583,263.08804,405.9786,254.24426,405.2526,245.70232,403.05878,243.54692,355.905,285.11246,365.088,0.115833655,-0.0011793451,0.14962897,0.18786706,2.8054843,-0.033795312,-0.18904641
1766107041042,1,218.85176,359.46967,218.32278,365.3228,217.5035,370.72397,216.94313,377.13348,216.40169,383.13733,216.1646,389.23657,216.86942,395.60834,217.35823,401.49387,218.09738,407.51065,219.84062,412.98517,221.6053,419.28015,224.7089,424.1301,227.93158,429.0482,231.81534,433.26608,236.45741,436.8424,241.67706,439.37375,247.65991,440.95248,254.24852,442.1693,261.00513,441.90555,267.07605,440.59128,273.29587,438.38864,278.82532,436.12866,283.8936,432.6162,288.48233,428.96964,293.26395,424.15833,296.52267,418.94824,299.74936,413.39285,302.43143,407.58774,304.89688,401.86545,307.32736,395.38657,309.04236,389.50775,310.4329,383.05667,311.75925,377.1769,231.36188,351.31967,239.00114,345.3852,245.4005,345.46548,252.54431,346.5295,258.2475,348.20013,257.69577,352.9813,251.69234,351.6457,244.70921,350.89948,237.8862,350.4673,273.48584,351.08612,281.1257,351.52866,288.38733,353.25732,294.89343,356.42355,300.0292,364.7565,294.458,361.22348,287.3702,358.60587,280.21042,356.7335,272.40643,355.7304,262.86176,361.34622,261.0235,368.786,258.82336,375.6385,257.53632,382.7133,246.5712,387.2739,251.76323,388.73264,257.39215,390.44714,262.95743,390.1944,268.3079,390.3936,235.68192,359.23645,239.73607,357.36615,244.0156,357.00137,248.84846,358.6128,252.33083,361.5389,247.95703,361.71188,243.11102,361.2948,239.0994,360.65216,274.83673,365.43356,279.6929,363.83322,284.43784,364.96637,288.50763,366.64786,291.4684,369.6204,286.74362,370.1913,282.86514,369.3257,278.69342,367.76733,236.4165,404.867,243.15337,400.66284,251.54413,399.42102,255.03621,400.43445,258.62186,400.9702,266.93088,404.2072,272.37485,410.1803,266.3258,412.38748,259.64243,412.8654,253.00287,411.95267,246.48012,410.75415,240.92918,408.28745,238.19568,404.6295,245.70625,403.50015,254.6211,404.11072,263.13452,406.32092,270.86783,409.95367,262.81836,407.62463,254.13992,406.78815,245.7598,404.95026,243.58759,359.66537,283.93835,367.09607,0.118158855,0.030676764,0.1839933,0.16028441,2.7816317,-0.06583444,-0.12960765
1766107041641,1,221.01292,362.5907,220.45839,367.85043,219.6581,372.8634,219.10495,378.86755,218.61961,384.30032,218.33534,389.96762,218.89117,396.0749,219.5102,401.64096,220.25371,407.48422,221.76596,412.90942,223.25389,419.02887,225.97223,423.7209,228.87177,428.48712,232.35783,432.62695,236.69319,436.1492,241.68149,438.50378,247.40598,440.25085,253.63165,441.47623,259.9267,441.53705,265.55493,440.41647,271.6625,438.34625,276.95987,436.1551,281.92215,432.9681,286.59225,429.6262,291.81897,425.44662,295.23193,420.7182,298.89825,415.77435,301.70264,410.2509,304.35294,405.25415,306.9389,399.18692,308.81882,393.60217,310.30328,387.39603,311.70905,381.98898,232.95706,352.07397,240.05302,346.6219,245.77757,346.9641,252.5483,348.10443,258.16653,349.7408,257.51804,354.37433,251.70882,352.9125,245.12007,352.07916,238.88972,351.53308,273.03857,352.5684,280.37933,353.07587,287.31058,354.69067,293.65408,357.69412,298.91153,365.86832,293.35062,362.41144,286.3389,359.71667,279.41635,357.98187,271.75555,357.01013,262.3177,362.6438,260.34515,369.7371,257.90607,376.42,256.57535,383.33966,246.39346,387.43246,251.35925,388.90195,256.67084,390.57736,262.2455,390.37833,267.51706,390.7121,236.52147,359.93784,240.26462,358.2305,244.25041,357.89572,248.89871,359.59473,252.34415,362.47083,248.13556,362.40424,243.45645,361.96405,239.77672,361.27725,274.29077,366.28845,278.8508,364.79474,283.5454,365.94742,287.6001,367.58072,290.4296,370.45224,285.77725,370.84454,282.01434,370.05792,278.0085,368.5757,236.54773,404.6831,243.13748,400.59354,251.24486,399.37964,254.57469,400.38702,257.98666,400.9289,266.5702,404.14938,272.24075,410.12598,266.105,412.43423,259.2347,413.22003,252.39673,412.23874,246.25209,410.8317,240.88365,408.24026,238.20158,404.47546,245.69092,403.32504,254.28474,404.0801,262.90216,406.27872,270.82504,409.8976,262.564,408.1392,253.49937,407.32312,245.66158,405.0893,244.02101,360.5419,283.14255,368.0217,0.13102491,0.047802016,0.2170993,0.15667044,2.784622,-0.08607438,-0.10886842
1766107042238,1,221.4075,367.2412,220.70647,372.44888,219.83363,377.4411,219.2521,383.32806,218.6948,388.7813,218.31178,394.15033,218.8299,399.91885,219.43297,405.26456,220.1791,410.87994,221.6736,415.89755,223.01183,421.85382,225.55219,426.3308,228.39444,431.04416,231.79848,434.9069,235.88728,438.31183,240.47029,440.4401,245.6851,442.01456,251.65796,443.25555,258.13086,443.60507,263.70395,442.69754,269.82205,441.03772,275.25134,439.66644,280.40402,436.94443,285.26144,433.8179,290.3312,429.9438,293.95776,425.50415,297.6415,420.3893,300.72827,415.13885,303.58905,409.7833,306.20517,403.96695,308.2527,398.2359,309.82236,392.1862,311.30615,386.61642,232.95827,353.92337,240.0239,347.99878,245.75261,348.04553,252.29414,348.88318,257.76596,350.46112,257.08994,355.1643,251.5199,353.65988,245.09698,353.14108,238.88797,352.86618,272.64072,352.92657,279.90613,353.32513,286.80603,354.98892,293.19714,358.02997,298.4225,366.46445,292.923,362.84784,285.89563,360.00577,278.99628,358.3966,271.33917,357.51596,261.5474,363.4814,259.3506,370.29446,256.9206,376.66235,255.43298,383.33118,245.71486,387.80838,250.49844,389.24536,255.59372,390.89316,261.24402,390.7485,266.8321,391.06058,236.52977,361.7995,240.24765,359.66837,244.19585,359.22305,248.75716,360.81873,252.18834,363.79385,248.11331,364.0049,243.44547,363.70346,239.76201,363.03406,273.63904,367.26804,278.02463,365.44104,282.7399,366.50662,286.84183,368.10944,289.7238,371.21027,285.2267,371.7075,281.40085,370.90802,277.30313,369.39908,235.63252,404.8592,242.02504,400.63986,250.17099,399.4367,253.49669,400.391,256.79797,400.96762,266.02475,404.201,271.82236,410.52463,265.35065,413.17038,258.1061,414.04395,250.74588,412.91592,244.85902,411.53342,239.43246,408.68463,237.07329,404.7033,244.60191,403.32935,253.33585,404.0731,262.44125,406.28412,270.5135,410.234,261.5615,409.21088,251.67186,408.29572,244.05624,405.98572,243.98375,361.95352,282.39893,368.68085,0.13717337,0.18972999,0.2771993,0.13028081,2.7003973,-0.14002593,0.05944918
1766107042800,1,229.9815,367.93454,229.6072,373.3254,228.55936,378.29575,228.0967,383.89984,227.51073,389.53955,227.07335,394.9135,227.60312,400.44,227.826,405.92422,228.71602,411.2716,230.11969,416.24402,232.13313,421.95892,235.12791,426.3049,238.20932,430.9927,242.21051,434.86166,246.55078,438.01785,251.40913,440.04135,256.61987,441.6595,262.09332,442.77927,267.94406,443.26596,272.9053,442.4589,278.43414,440.98483,283.2212,439.57416,287.96872,436.8196,292.36838,433.68335,296.58597,429.79678,299.56006,425.34164,302.5981,420.27698,304.93805,415.08838,307.35864,409.84366,309.91626,404.13776,311.57346,398.78683,312.92706,393.01227,314.4596,387.7193,243.00943,357.8131,249.92859,351.71155,255.59427,351.50217,262.05243,352.32242,267.25647,354.1737,266.84308,358.76053,261.25156,356.94373,255.08669,356.27307,248.71982,356.19012,282.7453,357.2435,289.2715,358.2499,295.45795,360.22742,300.81296,363.56897,304.98276,371.74384,300.38516,367.5404,294.25992,364.61108,288.00632,362.78418,281.16312,361.76614,271.7931,368.31723,270.4722,374.0799,269.02832,379.121,267.88596,384.49774,257.23343,389.34366,261.9653,390.62,266.73843,392.0338,271.505,392.03778,276.18362,392.5965,246.63387,365.63327,250.55853,363.46152,254.42375,363.0749,258.96933,364.82162,262.21484,367.90323,258.34097,368.5328,253.7055,368.26852,250.1075,367.34036,282.168,372.3599,286.63464,370.72678,291.2704,371.47974,294.95273,373.60208,297.55344,376.7281,293.1171,377.21747,289.89645,376.4341,285.8213,374.55408,247.11415,405.082,253.61975,400.83994,261.36807,399.6224,264.30194,400.53714,267.43924,401.26477,275.05472,404.56668,279.1034,411.0621,273.9462,413.2519,267.88962,414.02432,262.46918,412.89523,256.9619,411.51328,251.36647,408.79172,248.39584,405.024,255.80333,403.35068,263.65424,404.14685,271.28873,406.43384,278.0987,410.7325,271.08032,409.2379,263.4381,408.27325,256.02838,406.06662,254.14403,365.956,290.79172,373.83905,0.13070735,-0.0521846,0.21825479,0.16612524,2.6451457,-0.08754744,-0.21830983
1766107043378,1,229.97263,367.9303,229.45493,373.28055,228.3007,378.25012,227.84831,383.85104,227.17195,389.46298,226.73326,394.64343,227.37723,400.1545,227.68913,405.5663,228.14508,410.73413,229.08586,415.84277,230.29456,421.53882,232.43379,425.89917,235.01439,430.56754,237.82906,434.45728,241.70508,437.84085,246.08023,439.9945,250.51186,441.64493,256.36505,442.78888,262.53943,443.26892,267.8687,442.47757,273.75534,440.9974,279.1034,439.64456,284.1135,436.92728,288.78442,433.8018,293.50974,429.97818,296.7537,425.49554,300.16608,420.53717,302.95624,415.38602,305.52444,410.0462,308.0739,404.39838,310.0141,398.9926,311.5882,393.20065,313.12155,387.83475,241.82762,359.82486,247.89503,354.49054,252.76852,354.69675,258.26834,355.78775,262.5645,357.407,261.80386,361.69827,257.46042,360.1103,252.1245,359.35043,246.82016,358.98972,276.04755,360.48782,282.65826,361.09198,288.97308,363.09448,295.0272,366.20456,299.37387,374.1998,294.3164,370.31525,287.86566,367.63406,281.44766,365.73297,274.55548,364.7908,265.23074,370.0963,263.02115,375.94025,260.74265,381.12808,258.8986,386.51614,250.81488,390.64948,255.09407,392.15793,259.2181,393.46445,264.50778,393.49713,269.78323,394.1737,244.19547,367.31937,247.50926,365.59937,250.72691,365.38043,254.57854,366.95096,257.83386,369.79855,254.28568,369.97433,250.12006,369.7233,247.12411,368.8336,276.8421,373.99744,280.80682,372.652,285.2403,373.59863,288.9733,375.43527,291.57156,378.40814,287.3293,378.77203,283.87216,377.91818,280.1809,376.2475,243.19437,405.69702,248.12685,401.8187,254.5159,400.75714,257.2975,401.4566,260.60294,402.28455,269.0296,405.52124,274.8405,412.0909,269.0167,414.11606,262.1104,414.58163,255.74753,413.4111,250.89505,412.0604,246.26306,409.4646,244.34633,405.68793,250.40483,404.26105,257.10852,404.9872,265.75522,407.35242,273.7366,411.56207,265.43863,410.29733,256.63568,408.9984,250.61331,406.93372,250.67865,367.8571,284.8132,375.72903,0.14738777,0.10698168,0.3484391,0.13164696,2.6708868,-0.20105132,-0.024665281
1766107043953,1,229.77975,371.27524,229.13145,376.38492,227.98338,381.14175,227.5318,386.50284,226.80386,391.892,226.31146,396.92606,226.70462,402.52243,226.97437,407.68246,227.30136,412.77945,228.25092,417.70367,229.39699,423.23853,231.5444,427.62866,234.07957,432.2314,237.04724,436.13834,240.88527,439.53665,245.22116,441.8321,249.67268,443.65192,255.49423,444.99417,261.6773,445.28033,266.89392,444.5857,272.6735,443.1425,277.97934,441.93402,282.94534,439.46085,287.58102,436.52896,292.42596,432.76254,295.6822,428.3581,299.1435,423.59158,302.1109,418.48172,304.77805,413.4272,307.21506,407.7994,309.2911,402.5005,310.9113,396.75073,312.4013,391.40588,239.89612,362.8324,246.19788,357.59546,251.16544,357.7843,256.78278,359.06137,261.35547,360.8411,260.54788,364.9859,256.0663,363.38763,250.53511,362.54214,245.07416,362.0817,275.2454,363.8135,281.93094,364.17596,288.48703,365.9076,294.44873,369.09457,298.9434,376.9019,293.88962,373.21982,287.31683,370.60553,280.82062,368.77942,273.8381,367.93555,264.32455,373.30597,262.09158,379.33868,259.88513,384.9439,258.14005,390.81454,249.82072,395.32776,253.9654,396.56198,258.27377,397.82727,263.44504,397.89957,268.45044,398.6048,242.49495,370.6289,245.8594,368.99976,249.17317,368.66534,253.29823,370.3915,256.3791,373.39,252.79698,373.48672,248.55768,373.207,245.3592,372.26978,275.7961,377.28586,279.8286,375.72205,284.3755,376.61386,288.2801,378.47372,290.87964,381.39536,286.55716,382.0827,282.97668,381.26462,279.17447,379.55603,241.88307,410.89352,246.75221,406.863,253.29095,405.45004,256.1385,406.18018,259.37225,406.8685,267.24127,410.1741,272.4659,416.5384,266.9325,418.2918,260.58102,418.67783,254.51044,417.7544,249.66664,416.62466,245.0598,414.20435,243.1262,410.74884,249.1031,409.20224,255.88123,409.6132,263.89917,411.90784,271.19507,416.01398,263.79013,414.29666,255.5584,413.20663,249.35376,411.44586,249.21237,371.2286,283.96298,378.7821,0.12850319,-0.005641588,0.33004093,0.1408369,2.716476,-0.20153774,-0.14647849
1766107044556,1,215.51825,375.2401,215.24475,381.10422,215.16148,386.55096,215.39362,392.592,215.5396,398.88165,215.9132,404.556,216.80496,410.80756,217.77295,416.56836,219.26157,421.89856,221.48856,427.6125,223.71013,433.23114,227.14557,437.82028,230.94241,442.13034,234.93085,445.71423,239.9195,448.84274,244.85797,450.75275,249.7017,451.48682,255.53494,451.84656,261.7176,450.95743,266.93384,448.99673,272.68625,446.15683,277.6983,443.65604,282.188,440.1135,286.23138,436.56467,290.27762,432.7187,292.62527,427.8705,295.3878,422.47675,297.52325,417.03418,299.2866,411.5043,301.16418,405.57803,302.55478,400.13025,303.45544,394.04187,304.2851,388.56247,228.6396,367.50684,235.78754,361.69476,241.83403,361.5075,248.62723,362.36246,254.63536,363.712,254.45633,368.33673,248.49216,367.04395,241.74976,366.61926,235.06212,366.48077,269.66824,365.58194,276.576,365.4805,283.13818,366.6039,289.41138,369.2395,294.87195,376.81015,289.2738,373.64993,282.6335,371.605,276.11624,370.37866,268.8511,370.0837,260.23883,375.67914,259.11588,382.82587,258.01917,389.9023,257.06738,396.7815,247.15552,401.76163,252.04523,402.8272,256.92776,404.01486,261.96066,403.39798,266.72113,403.3949,233.82936,374.67664,237.49426,372.67627,241.69803,371.96948,246.27925,373.4353,249.93796,376.3612,246.20938,376.84848,241.23462,376.91638,237.27177,376.22147,271.27792,378.64984,275.40533,376.7715,280.24136,377.32217,284.1869,378.8824,287.00247,381.65326,282.80676,382.6203,279.43973,382.26257,275.02084,380.7455,238.94388,419.06494,244.8953,415.1414,252.06825,413.37466,255.25449,414.00052,258.48938,414.27295,265.92102,416.86777,270.7577,421.99014,265.6205,424.18292,259.6335,425.30368,253.8988,424.7899,248.4979,424.2916,243.24075,422.18652,240.4619,419.0331,247.51328,417.67105,255.03761,417.69873,262.60696,419.10785,269.43427,421.81705,262.21387,419.96176,254.59859,419.73608,247.66975,418.58267,241.71991,374.65234,280.00565,379.6102,0.118766226,-0.05147301,0.08688198,0.12582752,2.8209352,0.031884246,-0.17730053
1766107045156,1,213.08072,369.1469,212.846,375.9584,212.96951,382.42014,212.91794,389.3793,213.11243,396.2491,213.8946,403.0584,215.0014,409.81522,216.60219,416.27673,218.56892,421.6376,221.55461,427.20218,223.8647,432.81387,227.88467,437.43048,232.46431,441.81598,237.34357,445.58746,243.09834,448.763,249.25027,450.95374,255.47746,451.85165,261.53342,452.11475,267.16132,450.93936,272.25122,448.86572,276.88718,446.07614,280.69388,442.5901,284.5493,438.07062,287.67743,433.50098,290.99203,428.01434,292.97574,422.51413,295.50687,417.05612,297.66235,411.1759,299.44714,405.75266,301.20328,399.34796,302.51462,393.99612,303.37903,388.03116,304.25787,382.6584,232.67006,367.33725,240.56366,361.7691,247.54877,361.99,254.8612,363.17865,261.1255,364.785,260.97482,369.4714,254.42084,367.74738,247.28209,366.95444,239.8433,366.5158,275.31458,367.2046,281.31824,367.16342,287.15204,368.3128,292.66452,369.94403,297.32053,376.92938,292.44604,374.36246,286.75644,372.99088,280.78278,371.9682,274.59656,371.6351,267.7249,376.7563,267.61908,384.8724,266.71594,392.43347,266.7883,400.14792,253.34946,403.0329,258.78445,404.48373,264.4786,406.1025,268.80975,405.94522,272.9732,405.50366,238.45197,374.58173,242.69374,372.61234,247.34937,371.99792,251.99074,373.4982,255.64594,376.5587,251.55383,377.20364,246.92743,377.05945,242.32198,376.30945,275.85504,379.50507,280.13022,377.37213,284.91687,377.83896,288.36035,379.60123,290.88528,382.04297,286.98474,383.20465,283.9661,383.1009,279.83545,381.63898,244.13222,419.30948,250.9934,415.88873,259.5202,415.01492,262.7598,415.64484,265.8873,416.22943,271.2555,419.0476,274.03064,423.71643,270.06696,425.70068,265.48914,426.76144,261.26688,425.90396,254.82007,425.16696,248.98514,422.77094,245.55762,419.34177,253.85806,418.5508,262.07242,419.17865,267.6832,420.87036,272.65927,423.64648,267.371,421.41418,261.99518,421.21942,253.88159,419.52667,247.30771,374.6846,284.25626,380.276,0.11967013,2.966515E-4,-0.09889976,0.17928816,2.8733554,0.21856989,-0.17899151
