timestamp,isLooking,lm0_x,lm0_y,lm1_x,lm1_y,lm2_x,lm2_y,lm3_x,lm3_y,lm4_x,lm4_y,lm5_x,lm5_y,lm6_x,lm6_y,lm7_x,lm7_y,lm8_x,lm8_y,lm9_x,lm9_y,lm10_x,lm10_y,lm11_x,lm11_y,lm12_x,lm12_y,lm13_x,lm13_y,lm14_x,lm14_y,lm15_x,lm15_y,lm16_x,lm16_y,lm17_x,lm17_y,lm18_x,lm18_y,lm19_x,lm19_y,lm20_x,lm20_y,lm21_x,lm21_y,lm22_x,lm22_y,lm23_x,lm23_y,lm24_x,lm24_y,lm25_x,lm25_y,lm26_x,lm26_y,lm27_x,lm27_y,lm28_x,lm28_y,lm29_x,lm29_y,lm30_x,lm30_y,lm31_x,lm31_y,lm32_x,lm32_y,lm33_x,lm33_y,lm34_x,lm34_y,lm35_x,lm35_y,lm36_x,lm36_y,lm37_x,lm37_y,lm38_x,lm38_y,lm39_x,lm39_y,lm40_x,lm40_y,lm41_x,lm41_y,lm42_x,lm42_y,lm43_x,lm43_y,lm44_x,lm44_y,lm45_x,lm45_y,lm46_x,lm46_y,lm47_x,lm47_y,lm48_x,lm48_y,lm49_x,lm49_y,lm50_x,lm50_y,lm51_x,lm51_y,lm52_x,lm52_y,lm53_x,lm53_y,lm54_x,lm54_y,lm55_x,lm55_y,lm56_x,lm56_y,lm57_x,lm57_y,lm58_x,lm58_y,lm59_x,lm59_y,lm60_x,lm60_y,lm61_x,lm61_y,lm62_x,lm62_y,lm63_x,lm63_y,lm64_x,lm64_y,lm65_x,lm65_y,lm66_x,lm66_y,lm67_x,lm67_y,lm68_x,lm68_y,lm69_x,lm69_y,lm70_x,lm70_y,lm71_x,lm71_y,lm72_x,lm72_y,lm73_x,lm73_y,lm74_x,lm74_y,lm75_x,lm75_y,lm76_x,lm76_y,lm77_x,lm77_y,lm78_x,lm78_y,lm79_x,lm79_y,lm80_x,lm80_y,lm81_x,lm81_y,lm82_x,lm82_y,lm83_x,lm83_y,lm84_x,lm84_y,lm85_x,lm85_y,lm86_x,lm86_y,lm87_x,lm87_y,lm88_x,lm88_y,lm89_x,lm89_y,lm90_x,lm90_y,lm91_x,lm91_y,lm92_x,lm92_y,lm93_x,lm93_y,lm94_x,lm94_y,lm95_x,lm95_y,lm96_x,lm96_y,lm97_x,lm97_y,gaze_pitch,gaze_yaw,head_pitch,head_yaw,head_roll,relative_pitch,relative_yaw
1766107342968,0,215.68517,353.7116,214.33022,360.51248,213.40031,366.7488,212.07617,373.3227,210.01154,379.70404,209.06674,386.55035,207.82321,393.1256,207.52278,399.6834,207.0577,406.70444,207.3226,413.33972,207.23317,420.2696,207.04213,426.87442,207.66823,433.76385,207.95673,439.35477,209.3861,445.73615,210.84584,451.99945,215.23247,456.91556,223.63739,461.51154,232.80006,463.715,241.49281,463.1657,250.94763,461.8483,259.8902,460.008,269.10654,456.58618,277.60175,452.77472,285.59766,447.37155,293.04,441.9229,300.2045,435.0129,306.51868,427.4142,310.9642,420.05664,315.29605,410.95837,319.39502,403.06024,322.8427,394.12793,326.01633,385.57043,218.33713,351.57513,223.27634,349.01944,226.03583,351.42062,229.49922,353.5208,232.71104,356.33813,231.12103,360.25122,227.98846,358.46744,224.83955,356.0242,221.60815,353.97107,245.9846,360.01157,255.48015,362.2035,264.5125,365.44855,273.46234,369.82153,280.1819,378.29495,271.84402,374.2727,262.66937,370.7457,253.57344,367.55807,244.51357,365.6697,234.43613,370.88116,227.60886,381.0643,221.37814,390.76474,216.18292,400.27335,214.04233,404.10922,217.2834,406.63397,221.6195,408.6323,228.3702,409.11084,234.69664,410.4689,219.16191,363.92282,221.12508,362.8388,223.72485,363.07843,226.96974,365.5635,229.12485,369.725,225.71967,369.32275,222.59145,367.5785,219.7199,365.94205,250.26335,378.32043,254.32664,377.0361,259.32898,377.80017,264.49442,380.62952,269.4451,384.66147,263.27206,385.046,257.70224,384.12064,253.85265,381.4876,208.95439,422.31772,211.27197,420.23883,214.51141,418.6539,217.97244,419.69638,221.97058,420.59848,233.15302,425.78305,242.1988,432.74524,233.9864,435.57074,224.7041,436.49777,216.56935,434.15103,211.59613,431.38086,210.11469,427.35202,210.41637,423.14313,213.93645,423.57443,217.33495,424.07245,229.39235,427.95193,239.79625,432.54132,229.0658,430.2519,218.19637,428.95987,213.77545,426.14142,223.28107,365.68948,257.808,380.78738,0.19087477,0.17577283,0.7117012,0.15195455,2.9118538,-0.52082646,0.023818284
1766107343579,0,213.26839,360.63144,212.07559,367.05096,211.82962,372.8917,211.21844,379.0027,209.38533,384.8696,208.65837,391.0325,207.57043,396.75693,207.47339,402.82916,206.9905,408.84363,207.35693,414.77155,207.3976,420.70486,207.22643,426.95987,207.89597,433.72137,208.21301,439.03876,209.75098,445.01743,211.2401,450.55914,215.42961,454.79117,223.6381,458.47327,232.7413,459.86588,241.05165,458.95593,250.0752,457.33615,258.5247,455.35373,266.5933,451.65656,274.20453,447.7803,281.41946,443.44223,288.06436,438.27557,294.25925,431.7944,299.7423,424.6623,303.55475,417.64157,307.22345,408.98416,310.28653,401.43826,312.69357,392.57483,315.40622,384.53867,215.65596,354.50116,219.28157,350.95206,221.2344,352.50992,224.3974,354.02347,226.75143,356.33786,225.6532,360.27814,223.36241,358.60425,220.65767,356.8881,218.05984,355.78152,237.92754,358.77795,246.75166,360.14822,255.06534,362.44815,263.51566,365.991,269.86737,373.69458,262.21066,370.2849,253.65398,367.54996,245.2215,365.38504,237.00175,364.2881,228.61913,370.41562,222.34105,379.96838,216.75331,388.92288,212.2068,397.6288,212.04762,403.3675,214.97134,405.0382,218.625,406.41788,224.98889,406.4921,230.75835,407.3929,216.22722,365.64725,217.70683,364.23965,219.79433,363.8279,222.73453,365.90033,224.44449,369.7242,221.98225,369.52707,219.51495,368.1977,217.11446,367.10776,243.4563,376.17953,246.66609,374.2253,251.26747,374.4087,256.02054,376.84818,260.86832,380.39157,255.41402,381.05945,250.3402,380.9851,246.90314,378.77502,208.88191,421.66357,210.2472,419.0959,212.88765,416.48337,215.86505,417.02792,219.65974,417.651,230.89694,422.13257,239.96733,428.8026,232.4867,431.90958,223.49821,433.69284,215.58682,432.4583,211.00037,429.94296,209.80067,426.31177,210.21039,422.49994,212.84647,421.84088,215.8194,421.24515,227.83456,424.08127,237.65598,428.61832,227.4667,427.69272,216.85434,427.28943,212.98167,424.9095,219.77432,366.63638,250.34106,377.63,0.19048491,0.18321058,0.78362644,0.023167823,2.8440568,-0.59314156,0.16004276
1766107344196,0,210.63365,370.5658,209.59198,376.19257,209.52412,381.53143,209.04054,387.19382,208.0116,392.39447,207.44943,398.12207,207.06068,404.00037,207.23018,409.3137,206.9333,414.1768,207.47998,419.68634,208.00194,425.19345,209.14392,430.16855,210.70465,435.47342,212.91504,440.06857,215.98547,445.04752,218.95041,449.82736,223.72559,452.65,230.82733,454.75104,238.22858,455.1058,245.27771,454.15613,252.5847,452.27823,259.64774,450.2692,266.66064,446.72238,274.05276,443.36807,280.7256,439.072,286.15128,434.46515,291.12604,428.28458,295.2525,421.75458,298.26257,415.7158,301.2395,408.12686,303.3607,401.07425,305.25372,392.6169,307.16498,385.04517,215.54544,363.71066,219.41418,358.18112,222.50006,358.2225,227.17094,358.612,231.23732,360.00516,230.26387,364.41922,226.51645,363.1275,222.27191,362.90164,218.21567,362.63116,244.07967,360.71762,251.65202,361.03195,258.93707,362.69235,266.2636,366.14304,272.04645,373.55438,266.02423,370.44327,257.8929,367.6145,250.77765,365.77808,243.01717,365.38654,233.88086,372.60074,230.39297,380.43973,227.06752,388.96243,224.66202,396.97488,219.64992,402.8092,223.70212,404.09277,227.39534,405.23062,233.3553,404.93024,238.91377,405.33755,216.46954,372.17883,218.68938,369.98758,221.59811,369.08752,225.07281,370.61923,227.35583,373.7326,224.57243,374.16058,221.1332,374.64816,218.19131,373.67365,247.20396,376.49142,250.94223,374.32547,255.4542,374.53262,259.97067,376.8314,263.81686,380.28494,259.08984,381.17218,254.49115,381.07578,250.93674,378.86432,214.8329,420.5893,217.51698,416.89282,222.58234,414.15417,225.56535,414.5451,228.74329,415.21518,238.39482,418.41605,245.0477,424.35416,239.0618,427.45303,231.79652,429.70526,224.69629,429.7924,219.68176,428.0398,216.76154,424.7291,216.13358,421.06924,219.92697,419.10223,225.45341,418.36783,235.27603,419.8563,243.51999,424.24704,234.84094,424.67233,225.53957,424.82028,220.11174,423.01328,221.3073,372.12915,254.99301,377.70013,0.19246839,0.22956924,0.59998995,-0.036336076,2.7385035,-0.40752155,0.26590532
1766107344803,0,180.60057,347.2867,180.08351,354.12732,180.49461,360.07208,180.18896,366.63263,179.53789,372.37637,179.46513,378.9556,179.32227,385.28427,179.14346,391.66898,179.85582,397.5757,180.96498,403.6593,182.02191,409.756,182.82733,415.31168,184.24196,421.25833,185.39977,426.60294,187.48985,432.0925,189.616,436.84177,194.00742,440.74158,201.8231,442.62585,210.42628,443.23138,218.23572,441.6721,226.0961,438.94315,233.95992,436.39322,241.27419,431.58673,247.91104,426.76852,254.74852,421.96115,260.42972,415.99884,265.67337,408.82205,270.0213,401.28326,273.24515,394.65286,276.11264,385.79395,279.26303,378.08972,281.15213,369.06445,283.32196,361.25412,185.09122,341.43503,189.39107,336.35406,192.01425,336.6448,195.8675,337.56815,199.23393,338.1939,197.6801,342.79443,195.51904,341.9406,191.9512,341.67264,187.85097,341.49588,209.90009,337.84363,218.08087,337.63852,225.71695,338.6397,234.16344,341.00873,241.30286,348.27795,234.06314,346.06308,225.04347,344.1219,216.72177,342.70377,208.9706,342.8344,201.04807,351.09543,196.28603,360.25177,191.43715,369.39944,187.87991,378.75806,186.77843,384.4613,190.65497,386.0349,193.9913,386.81143,200.09026,386.20612,206.12253,386.58203,186.90695,350.65735,188.43323,348.7555,191.09073,347.69128,194.05618,349.06793,196.4557,351.7378,193.80907,352.13242,190.94196,352.30817,188.019,351.4632,215.16835,353.4531,218.61073,350.96582,222.8357,350.67874,227.81133,352.5041,232.24467,355.43857,226.72838,356.6733,222.12013,356.40112,218.81084,355.1285,184.00105,405.61993,185.04683,401.87357,188.65892,398.59103,192.0791,398.40125,195.68651,398.84372,207.14389,401.7019,215.54097,407.68347,208.90875,412.05762,200.7928,415.20166,192.08925,415.66034,187.27177,413.769,185.49333,409.9077,184.86687,406.33426,188.19582,404.07196,192.26091,402.84155,204.11868,404.06076,214.38121,407.47394,203.86455,408.89487,192.88394,410.38153,188.4895,408.49255,191.2533,350.73996,222.01874,353.1764,0.18977647,0.21897583,0.6995853,-0.11162064,2.7692924,-0.50980884,0.33059648
1766107345401,0,185.33658,351.2912,184.34152,357.59195,183.36612,363.5822,182.65779,370.4763,181.35527,376.8031,180.65802,382.85687,180.56999,390.1278,180.40877,396.55588,180.81609,402.76102,182.23705,409.1254,182.54108,415.9631,184.53462,422.04358,186.3184,428.03732,187.86105,433.8698,190.70988,439.3786,194.55014,443.9748,199.07138,447.58167,208.06982,450.35736,217.01624,451.19092,225.03294,449.86722,233.16438,447.80765,241.4763,445.45514,249.0704,441.5178,256.09567,436.99887,264.17917,431.7676,269.08548,425.7106,274.30255,418.5007,278.6573,411.2327,282.4134,403.4946,285.74252,394.87012,288.7538,386.40833,290.57843,377.94647,292.69388,369.8775,189.53873,346.12262,195.70027,341.1812,199.80965,342.23593,204.40599,343.7624,208.82161,345.3856,207.9447,350.06973,203.85817,348.79773,198.81206,347.89725,193.96509,347.12582,223.15471,347.33762,232.18965,346.91968,240.83064,348.98178,249.57445,352.12173,256.70102,360.71747,249.5363,357.34393,239.7438,354.763,231.31714,353.18594,222.02104,352.5268,211.5809,358.26886,207.09175,367.55972,202.16135,375.85928,199.12456,385.4554,195.73715,390.48932,199.8777,392.2013,203.7893,393.7536,210.6624,393.8491,217.44305,393.7349,192.60173,356.2853,195.11415,354.66653,198.22314,354.15546,202.0238,355.7873,204.90643,358.74133,201.78249,358.75882,197.45181,358.78485,194.46686,357.46408,227.30246,362.55496,231.857,360.49182,236.7898,360.78687,241.65309,363.1687,246.08838,366.07175,240.01376,367.66022,234.98033,366.7979,230.76244,365.3672,191.27324,409.88358,193.9245,406.54105,198.94884,404.44,201.91223,405.26566,205.50381,405.54553,216.50735,408.96747,224.60301,414.79288,217.09348,417.493,208.8308,418.5554,200.33385,417.38187,196.1105,415.8602,193.75302,412.9384,193.17126,409.75314,197.19312,409.56396,202.03557,409.28598,213.12448,411.576,223.33327,414.255,212.35152,412.77914,201.23953,411.67767,196.90027,410.18207,198.20656,356.56085,236.19197,363.6978,0.19865152,0.15030447,0.49924788,0.047944564,2.8272479,-0.30059636,0.102359906
1766107345991,0,227.79375,366.93063,227.0846,371.83624,226.44359,376.8178,226.0126,382.081,225.199,387.0351,225.09503,392.0481,224.92014,397.7727,225.07498,403.25284,225.24666,408.41055,226.17502,413.54553,226.63966,419.22055,227.80658,424.46173,228.9207,429.73886,230.2984,434.76016,232.54573,439.47928,235.38336,443.86243,239.04506,447.517,245.53362,449.96506,252.15959,450.64352,258.13147,449.7941,264.37357,447.63135,270.2791,445.24707,275.8361,441.49292,281.33304,437.4216,287.0378,432.93753,290.87952,428.0826,295.27048,422.11017,298.4845,416.35678,301.43265,410.4777,304.05322,403.9726,306.5695,397.76505,308.2472,390.99545,310.50894,385.10367,232.11163,360.43826,237.28458,356.30212,240.48697,357.0643,244.83394,358.1744,248.4331,359.51123,247.35492,363.88525,244.25941,362.01764,240.24905,361.1738,235.90578,360.79108,259.6975,361.39014,266.6701,362.1095,273.18216,363.76154,279.65588,366.55502,285.09293,373.5355,279.3932,370.42096,272.4244,368.20697,265.54587,366.34137,258.59387,365.95682,250.5633,371.51816,247.34387,378.03418,243.95952,384.69205,241.54828,391.49197,237.54918,395.97998,240.90405,397.38815,244.29199,398.53723,249.16667,398.61642,254.23332,399.1597,233.66931,368.9276,236.23077,367.504,238.74934,367.14273,242.3868,368.66983,244.65152,371.19882,241.70288,371.54987,238.09366,371.32455,235.53084,370.4791,262.18918,375.1185,266.081,373.50488,270.1645,374.08508,274.04724,375.7838,277.1764,378.57816,272.4659,379.40643,268.45102,378.58014,265.3435,377.1685,232.5114,412.86624,235.24457,409.32245,239.74706,407.20984,242.22581,407.8327,245.3171,408.65552,254.10559,411.83313,259.80798,417.64597,253.98248,420.7052,246.71445,421.98965,240.71352,421.2808,236.6456,419.41943,234.14249,416.4732,233.49928,412.80368,237.60353,411.80328,242.09639,411.9119,250.6278,413.90427,258.63474,417.3505,250.47346,417.03256,241.74884,416.1213,237.40506,414.29224,238.6915,369.63876,269.36493,376.32697,0.19986008,0.12033499,0.63329864,-8.0579706E-4,2.7536664,-0.43343854,0.121140786
1766107346560,0,216.75786,108.72627,217.23221,110.1158,217.38806,110.9748,218.01892,112.19596,218.50623,113.297935,218.81812,114.26778,219.54556,115.47972,220.20872,116.46191,221.1689,117.272545,222.0272,117.98805,222.94286,118.78219,224.36807,119.316055,225.44765,119.527336,226.63504,120.02935,227.83307,119.92435,229.1823,119.55494,230.24753,119.07761,230.88782,118.39256,231.78467,117.91588,232.10355,117.00954,232.83093,115.94336,233.06236,115.020584,233.57458,113.902916,233.62553,112.89583,233.77783,111.53505,233.48013,110.41885,233.70967,109.389,233.49823,108.19807,233.43758,107.20099,233.35338,106.17747,233.17314,105.142426,233.1441,104.172104,232.67159,103.22383,222.4414,109.280426,223.4932,107.964386,224.74704,107.39643,226.03604,106.917145,227.2017,106.58476,227.51047,107.25848,226.05495,107.791855,225.09189,108.25026,223.71558,108.580864,229.58603,105.167076,230.42615,104.7967,231.04558,104.202156,231.59076,103.458755,232.60178,104.02847,231.94539,104.456505,230.9238,104.90275,230.49422,105.31285,229.66776,105.90816,228.93211,108.35017,229.68832,110.194916,230.28372,111.788895,230.9178,113.16376,227.99583,114.30406,229.23244,114.16727,230.18755,113.9154,230.74773,113.58931,231.25768,113.06723,223.6104,110.46954,224.38481,110.014656,225.09543,109.51013,225.88304,109.41422,226.61494,109.37758,226.12622,109.985374,225.25926,110.51785,224.49594,110.645676,230.33292,107.607285,230.65073,106.81999,231.24971,106.13276,231.90326,105.93762,232.32358,105.86402,232.00012,106.73681,231.47858,107.01232,230.98228,107.384705,227.36618,116.818665,228.56001,115.99605,230.06306,115.466995,230.31831,115.48071,230.70076,115.28695,231.44328,114.681915,231.83017,114.53056,231.4089,115.34856,231.26422,115.77777,230.79582,116.25586,229.72311,116.78947,228.52467,116.91031,227.38495,116.84188,229.13686,116.48407,230.54562,116.158394,230.95972,115.37713,231.86897,114.84866,231.22437,115.00898,230.59328,115.55977,229.15355,115.836525,225.21104,110.06508,231.31877,106.84152,-0.9229565,0.8460434,-0.3385337,-0.5606192,-2.3676052,-0.5844228,1.4066626
1766107347069,0,227.05515,372.3552,226.36034,377.67426,226.07607,382.41312,225.37793,387.58582,224.7282,392.4282,224.49402,397.67282,224.21002,402.69547,224.34457,407.94012,224.53111,413.0306,225.4874,417.79156,225.89076,422.61707,226.9323,427.6305,227.6425,432.72687,229.03923,437.15558,230.6647,441.4427,233.03923,445.56763,236.58302,448.65326,243.14865,450.83328,249.87138,451.4971,256.0537,450.87558,262.34854,449.1516,268.5075,447.10947,274.30386,443.91275,279.79828,440.43588,285.64282,436.4572,289.66614,432.0953,294.10754,426.4086,297.4078,420.89554,300.35913,415.27042,302.99698,408.58917,305.53134,402.88043,307.24756,395.95468,309.50522,389.83966,230.65529,365.7049,235.27835,361.87485,237.98662,362.8167,241.83115,363.76794,245.41267,364.92484,244.34782,368.88583,241.25908,367.13947,237.63733,366.59793,233.96272,365.98663,257.65085,365.81027,265.77856,366.339,271.6539,368.05447,277.16672,370.63644,282.13953,377.0475,276.91513,374.13766,271.2209,372.10782,264.5283,370.2604,256.56842,370.22458,247.63072,376.5898,244.3988,383.68033,240.96684,390.2337,238.76276,397.10907,234.31432,402.06415,237.78078,403.20615,241.26138,404.04712,246.42848,404.13306,251.80972,404.63895,231.85468,374.84525,233.88876,373.4362,236.20735,373.00558,239.49483,374.25043,241.77829,376.46417,238.9608,377.18777,235.70741,376.6921,233.30234,376.1522,260.0854,379.92896,264.97955,378.24728,269.03482,378.58295,272.50018,380.25388,275.5256,382.96402,271.84595,383.53903,267.246,383.13632,263.39417,381.57877,229.87216,419.6731,232.11086,415.6295,236.64099,413.07886,239.22478,413.0869,242.4058,413.9339,251.37367,417.31622,257.2254,423.5547,251.27719,427.25943,244.02422,429.21555,237.7025,428.9239,233.59259,427.15436,231.28606,423.8667,230.79305,419.9616,234.54,417.80432,239.09485,417.129,247.82445,419.06012,256.0435,423.23605,247.62526,424.16824,238.70523,424.3656,234.41449,422.41623,236.14034,375.66046,268.3701,380.9914,0.19941774,0.26228908,0.64142114,-0.021351939,2.7358243,-0.4420034,0.283641
1766107347675,0,234.47125,374.43277,234.14044,380.04346,233.20145,384.60077,232.75839,389.82513,231.78137,395.04022,231.37022,400.0246,230.96907,405.30994,231.0212,410.7855,231.03458,415.75934,231.79535,420.5303,231.94785,425.9865,232.83539,431.17548,233.46927,436.31216,234.15918,441.16104,235.19275,445.27805,237.38684,449.90848,240.5991,452.9061,247.57109,454.8031,254.4797,455.49304,260.76004,454.5572,267.15512,452.45798,273.55325,450.3964,279.8971,447.2591,285.8752,443.75262,291.812,439.4546,296.14615,435.1545,300.7012,429.45978,304.24783,423.6338,307.42792,417.83353,309.98502,410.99634,312.7241,404.60104,314.59283,397.8125,316.87717,391.4277,237.08202,369.63904,241.10863,365.56265,243.62787,366.3722,247.03226,367.02466,250.04977,368.48788,249.03609,372.59012,246.24167,370.97952,243.33699,370.3784,240.13145,369.8834,261.17838,369.32013,268.3488,369.4145,274.86505,370.81146,281.42136,373.59378,286.94623,380.22076,281.21817,377.38123,274.14264,375.02603,267.2206,373.59537,260.19156,373.87448,252.21501,380.57056,248.17044,387.7655,244.1592,394.88235,240.96005,402.15063,239.06787,407.10138,242.14865,408.4748,244.77766,409.46722,249.91176,409.51465,255.0732,409.63306,238.29128,379.12512,240.09491,377.56238,242.23706,377.20963,245.23735,378.4726,246.76302,380.71915,244.75052,381.47736,241.71739,381.28854,239.50238,380.5247,264.03778,383.9612,267.7335,382.0326,271.37122,382.0207,275.52295,383.70703,278.79095,386.37604,274.3933,387.53436,270.1034,387.12946,266.91284,385.7412,235.41388,423.66434,237.08621,420.45,240.54405,417.97504,242.65889,418.45728,245.50465,418.96878,254.0945,421.87555,259.86896,426.88632,254.16846,430.2175,247.43547,432.05844,241.20183,431.49072,237.6258,429.91086,236.35362,427.00583,236.48859,423.7411,239.33936,422.3118,242.70288,422.26993,251.08492,423.7962,258.42606,426.95203,250.53777,427.0077,242.27454,426.80472,238.7791,425.23032,242.111,379.44348,270.7029,384.22415,0.21598855,0.26468077,0.7369648,-0.081221886,2.6682642,-0.5209763,0.34590265
1766107348269,0,233.78423,375.69513,233.19777,381.31097,232.08347,386.12427,231.61905,391.52853,230.68402,396.80203,230.33347,402.0434,230.15617,407.6111,230.23997,413.09607,230.49515,418.32013,231.25423,423.08215,231.5729,428.95905,232.49896,434.16248,233.31874,439.45148,233.95518,444.37347,235.09503,448.35107,237.5908,452.56796,240.90045,455.60797,247.93364,457.3069,254.98529,458.05814,261.27637,456.9785,267.69797,455.03412,274.0886,453.11554,280.39868,450.13705,286.37646,446.65808,292.3427,442.41742,296.81134,438.05344,301.7145,432.3824,305.35297,426.66,308.73956,420.801,311.4461,413.98196,314.12692,407.57318,315.98355,400.45035,318.17163,394.0345,236.80827,369.64255,240.90231,365.4338,243.5458,366.2651,247.2126,366.97394,250.3853,368.4323,249.33177,372.7199,246.48386,371.0551,243.24432,370.37686,239.87654,369.86722,262.08792,369.61523,269.44308,369.879,276.24408,371.30533,283.0629,374.21973,288.9296,381.1717,282.8071,378.09003,275.3639,375.65213,268.1243,374.14398,260.83246,374.17932,252.44997,381.13104,248.53687,388.0149,244.60744,395.11624,241.58704,402.29214,239.04234,407.27112,242.29901,408.67712,245.34656,409.61218,250.5265,409.6846,255.83887,409.9286,238.13232,379.22464,239.84285,377.68616,241.99055,377.3552,245.04463,378.71378,246.77928,380.97086,244.55867,381.72388,241.47824,381.40906,239.27576,380.65448,264.7723,384.61414,268.55902,382.8309,272.46655,383.144,276.80792,384.79315,280.22687,387.42148,275.4612,388.54044,271.00806,387.9497,267.8163,386.5206,235.20544,424.52188,236.91573,420.7793,240.67903,418.24698,243.00124,418.64392,246.04814,419.29773,255.39124,422.5571,261.19772,428.482,255.33824,432.1305,248.14207,434.4647,241.5314,433.7058,237.6216,431.92133,236.16858,428.58444,236.29703,424.66913,239.27673,422.75436,242.99939,422.5394,252.00188,424.4887,259.81985,428.46893,251.50871,429.13336,242.6614,429.061,238.73538,426.89032,241.88715,379.6912,271.69244,385.23813,0.2717156,0.2767292,0.7178036,-0.06336647,2.6840742,-0.446088,0.34009567
